id,episode_id,step_number,sim_time_sec,action_taken,current_phase,queue_north,queue_south,queue_east,queue_west,total_waiting,total_cleared,avg_wait_time,reward
1,1,1,5.0,0,NS_GREEN,0,0,0,1,1,6,0.5111111111111112,1.4899999999999998
2,1,2,10.0,0,NS_GREEN,0,0,9,8,17,19,2.4522727272727276,-1.218333333333333
3,1,3,15.0,0,NS_GREEN,0,1,16,13,30,32,5.2181372549019605,-8.499999999999998
4,1,4,20.0,0,NS_YELLOW,1,1,25,17,44,47,7.559219858156029,-13.366666666666665
5,1,5,25.0,0,EW_GREEN,3,10,29,22,64,49,9.475870646766168,-27.446666666666665
6,1,6,30.0,0,EW_GREEN,5,13,0,1,19,67,9.788440860215054,8.156666666666666
7,1,7,35.0,0,EW_GREEN,11,22,0,7,40,89,10.4765625,0.16499999999999995
8,1,8,40.0,0,EW_GREEN,17,26,4,5,52,109,10.666666666666668,0.44333333333333325
9,1,9,45.0,0,EW_YELLOW,26,34,3,1,64,131,11.936301369863013,-8.111666666666666
10,1,10,50.0,0,NS_GREEN,30,41,13,13,97,133,13.0,-41.05833333333333
11,1,11,55.0,0,NS_GREEN,24,0,21,19,64,151,12.683656957928804,3.378333333333333
12,1,12,60.0,0,NS_GREEN,16,0,27,28,71,173,14.394036697247707,-19.74666666666667
13,2,1,5.0,0,NS_GREEN,0,0,8,1,9,6,1.815,-0.041666666666666796
14,2,2,10.0,0,NS_GREEN,0,0,14,7,21,17,3.718,-4.2266666666666675
15,2,3,15.0,0,NS_GREEN,0,0,26,16,42,32,6.028409090909091,-12.816666666666666
16,2,4,20.0,0,NS_YELLOW,0,2,32,29,63,46,8.466931216931217,-22.723333333333333
17,2,5,25.0,0,EW_GREEN,8,5,36,34,83,46,10.611372549019608,-36.95833333333333
18,2,6,30.0,0,EW_GREEN,15,10,1,0,26,64,10.287318840579712,0.9033333333333331
19,2,7,35.0,0,EW_GREEN,19,18,1,12,50,84,11.96569579288026,-22.66333333333333
20,2,8,40.0,0,EW_GREEN,27,25,0,4,56,106,13.533496732026144,-8.285
21,2,9,45.0,0,EW_YELLOW,28,33,13,0,74,127,15.491900311526479,-21.531666666666666
22,2,10,50.0,0,NS_GREEN,31,35,24,29,119,130,17.858953168044078,-49.46666666666667
23,2,11,55.0,0,NS_GREEN,0,0,29,36,65,148,18.674254742547426,-8.319999999999999
24,2,12,60.0,0,NS_GREEN,11,1,35,43,90,170,20.71008064516129,-20.65166666666667
25,3,1,5.0,0,NS_GREEN,0,0,3,5,8,6,0.9242424242424242,0.7666666666666665
26,3,2,10.0,0,NS_GREEN,0,0,6,6,12,15,4.344047619047619,-2.3850000000000007
27,3,3,15.0,0,NS_GREEN,0,0,12,11,23,25,6.028666666666667,-6.03
28,3,4,20.0,0,NS_YELLOW,1,1,16,18,36,36,7.786842105263157,-11.275
29,3,5,25.0,0,EW_GREEN,10,8,19,22,59,38,8.937158469945354,-24.37333333333333
30,3,6,30.0,0,EW_GREEN,16,14,0,2,32,56,8.063636363636364,6.643333333333333
31,3,7,35.0,0,EW_GREEN,26,24,3,0,53,78,9.187860082304526,-14.688333333333334
32,3,8,40.0,0,EW_GREEN,32,26,0,1,59,98,11.516465863453815,-15.271666666666667
33,3,9,45.0,0,EW_YELLOW,39,36,0,1,76,120,12.739259259259258,-12.596666666666668
34,3,10,50.0,0,NS_GREEN,50,41,11,16,118,122,13.665694444444446,-48.865
35,3,11,55.0,0,NS_GREEN,4,10,16,28,58,140,13.581203007518797,-11.321666666666667
36,3,12,60.0,0,NS_GREEN,22,6,22,34,84,162,15.354136253041364,-23.215000000000003
37,4,1,5.0,0,NS_GREEN,0,0,6,2,8,5,0.6051282051282051,0.6933333333333334
38,4,2,10.0,0,NS_GREEN,0,0,13,16,29,20,3.217156862745098,-5.705000000000001
39,4,3,15.0,0,NS_GREEN,0,0,19,19,38,31,6.900416666666667,-13.426666666666666
40,4,4,20.0,0,NS_YELLOW,0,1,23,25,49,43,9.56764705882353,-17.676666666666666
41,4,5,25.0,0,EW_GREEN,5,8,28,27,68,44,11.321666666666667,-30.233333333333334
42,4,6,30.0,0,EW_GREEN,8,16,1,1,26,62,10.52962962962963,8.788333333333332
43,4,7,35.0,0,EW_GREEN,17,23,6,2,48,84,11.416222222222222,-3.2783333333333338
44,4,8,40.0,0,EW_GREEN,21,28,0,0,49,104,13.016666666666667,-3.4933333333333336
45,4,9,45.0,0,EW_YELLOW,28,37,0,1,66,126,12.656458333333333,0.24666666666666587
46,4,10,50.0,0,NS_GREEN,34,39,16,17,106,128,13.755555555555555,-46.785
47,4,11,55.0,0,NS_GREEN,3,18,20,23,64,146,14.338333333333333,-3.8283333333333345
48,4,12,60.0,0,NS_GREEN,0,5,27,29,61,168,16.203030303030303,-14.008333333333333
49,5,1,5.0,0,NS_GREEN,0,0,3,6,9,6,1.405,0.3749999999999998
50,5,2,10.0,0,NS_GREEN,3,0,9,7,19,18,3.3630434782608694,-2.7600000000000002
51,5,3,15.0,0,NS_GREEN,0,0,12,11,23,32,7.784782608695651,-6.01
52,5,4,20.0,0,NS_YELLOW,2,0,20,21,43,46,7.005208333333333,-11.59
53,5,5,25.0,0,EW_GREEN,9,9,23,29,70,47,8.826157407407408,-29.689999999999998
54,5,6,30.0,0,EW_GREEN,15,11,0,0,26,65,8.86904761904762,6.8149999999999995
55,5,7,35.0,0,EW_GREEN,23,14,0,0,37,87,10.844117647058823,-5.133333333333334
56,5,8,40.0,0,EW_GREEN,30,25,0,0,55,107,10.497736625514404,-5.391666666666666
57,5,9,45.0,0,EW_YELLOW,35,36,0,0,71,129,12.943849206349206,-17.216666666666665
58,5,10,50.0,0,NS_GREEN,40,38,7,17,102,131,14.395673076923078,-40.49666666666666
59,5,11,55.0,0,NS_GREEN,0,0,10,24,34,149,14.614379084967322,5.968333333333333
60,5,12,60.0,0,NS_GREEN,1,0,19,28,48,171,16.201923076923077,-12.926666666666668
61,6,1,5.0,1,NS_GREEN,0,0,0,3,3,6,0.6216666666666667,1.1683333333333332
62,6,2,10.0,1,NS_GREEN,0,0,9,11,20,21,2.7458333333333336,-1.5050000000000003
63,6,3,15.0,1,NS_GREEN,0,0,13,17,30,34,5.652941176470588,-8.786666666666667
64,6,4,20.0,2,EW_GREEN,8,10,14,22,54,36,7.536011904761905,-22.42833333333333
65,6,5,25.0,2,EW_GREEN,14,20,5,0,39,54,6.9642473118279575,4.3566666666666665
66,6,6,30.0,2,EW_GREEN,21,27,0,1,49,76,8.957711442786069,-10.328333333333335
67,6,7,35.0,2,EW_GREEN,26,33,0,0,59,96,10.633802816901408,-9.593333333333332
68,6,8,40.0,1,NS_GREEN,31,40,14,12,97,99,11.635016835016835,-38.88
69,6,9,45.0,1,NS_GREEN,10,2,25,16,53,117,11.762660256410255,-1.8216666666666668
70,6,10,50.0,1,NS_GREEN,0,17,28,20,65,139,14.073174603174603,-18.93
71,6,11,55.0,0,NS_GREEN,4,4,34,25,67,159,15.634984984984985,-19.880000000000003
72,6,12,60.0,0,NS_YELLOW,4,20,39,31,94,181,17.50623188405797,-21.29
73,7,1,5.0,1,NS_GREEN,0,0,0,8,8,2,1.1944444444444444,-0.86
74,7,2,10.0,1,NS_GREEN,0,0,11,10,21,15,3.386206896551724,-4.523333333333333
75,7,3,15.0,1,NS_GREEN,0,0,16,15,31,28,5.794736842105263,-8.353333333333332
76,7,4,20.0,1,NS_YELLOW,2,0,23,20,45,43,8.236394557823129,-13.915000000000001
77,7,5,25.0,0,EW_GREEN,12,10,27,25,74,45,9.318640350877194,-29.92
78,7,6,30.0,2,EW_GREEN,15,16,7,9,47,63,9.349358974358974,3.266666666666666
79,7,7,35.0,2,EW_GREEN,20,23,2,0,45,85,11.394444444444444,-9.428333333333333
80,7,8,40.0,2,EW_GREEN,25,28,0,0,53,105,12.764728682170542,-14.993333333333332
81,7,9,45.0,2,EW_YELLOW,35,35,7,5,82,127,14.514756944444445,-23.065000000000005
82,7,10,50.0,2,NS_GREEN,43,40,19,16,118,129,16.058333333333334,-52.848333333333336
83,7,11,55.0,1,NS_GREEN,8,35,22,25,90,147,16.360185185185184,-8.128333333333334
84,7,12,60.0,0,NS_GREEN,12,4,27,31,74,168,18.277651515151515,-28.916666666666664
85,8,1,5.0,1,NS_GREEN,0,0,9,8,17,6,1.2333333333333332,-0.8200000000000001
86,8,2,10.0,1,NS_GREEN,0,0,15,17,32,17,4.046666666666667,-8.33
87,8,3,15.0,2,EW_GREEN,10,6,19,22,57,19,6.340960451977401,-22.701666666666668
88,8,4,20.0,2,EW_GREEN,11,11,8,0,30,37,7.20438596491228,1.7099999999999995
89,8,5,25.0,2,EW_GREEN,16,12,0,3,31,59,9.353846153846153,-1.0283333333333338
90,8,6,30.0,0,EW_GREEN,23,16,0,0,39,79,11.322327044025158,-5.445000000000001
91,8,7,35.0,1,NS_GREEN,27,20,8,12,67,82,12.83671497584541,-27.728333333333335
92,8,8,40.0,1,NS_GREEN,0,8,17,16,41,100,11.724891774891775,3.635
93,8,9,45.0,0,NS_GREEN,6,0,23,21,50,121,13.700205761316873,-14.466666666666667
94,8,10,50.0,0,NS_GREEN,8,5,31,27,71,142,15.015900383141764,-13.453333333333333
95,8,11,55.0,0,NS_YELLOW,7,0,37,32,76,162,15.994202898550725,-10.631666666666666
96,8,12,60.0,0,EW_GREEN,17,17,45,34,113,166,17.09391304347826,-48.32666666666666
97,9,1,5.0,1,NS_GREEN,0,0,6,9,15,5,1.3529411764705883,-0.8299999999999998
98,9,2,10.0,1,NS_GREEN,0,0,13,14,27,12,4.807738095238095,-9.108333333333334
99,9,3,15.0,2,EW_GREEN,9,4,18,18,49,15,6.199346405228758,-17.30166666666667
100,9,4,20.0,2,EW_GREEN,10,6,0,0,16,33,7.342276422764228,6.88
101,9,5,25.0,2,EW_GREEN,15,15,0,0,30,55,8.152898550724638,-0.8500000000000008
102,9,6,30.0,2,EW_GREEN,16,21,0,0,37,70,10.2325,1.0033333333333332
103,9,7,35.0,1,NS_GREEN,23,25,11,9,68,71,9.588333333333335,-25.941666666666666
104,9,8,40.0,1,NS_GREEN,3,0,18,18,39,89,8.466666666666667,2.1849999999999996
105,9,9,45.0,1,NS_GREEN,0,0,23,26,49,111,11.191666666666666,-12.746666666666668
106,9,10,50.0,0,NS_GREEN,0,3,31,29,63,131,12.279674796747969,-5.263333333333334
107,9,11,55.0,0,NS_YELLOW,0,0,34,39,73,153,13.84186507936508,-9.108333333333334
108,9,12,60.0,0,EW_GREEN,7,10,38,43,98,155,15.896833333333333,-42.21666666666666
109,10,1,5.0,1,NS_GREEN,0,0,8,6,14,7,1.2018518518518517,-0.09000000000000014
110,10,2,10.0,1,NS_GREEN,0,0,14,14,28,20,3.841666666666667,-6.276666666666667
111,10,3,15.0,2,EW_GREEN,10,16,21,17,64,23,5.317171717171718,-21.936666666666667
112,10,4,20.0,2,EW_GREEN,18,16,9,0,43,41,6.451262626262626,-2.145000000000001
113,10,5,25.0,2,EW_GREEN,24,23,0,0,47,63,8.844791666666667,-7.508333333333335
114,10,6,30.0,1,NS_GREEN,29,27,16,13,85,65,10.559578544061303,-34.714999999999996
115,10,7,35.0,1,NS_GREEN,18,0,26,22,66,83,10.528061224489797,-5.993333333333334
116,10,8,40.0,1,NS_GREEN,3,6,28,26,63,105,13.479528985507246,-14.32
117,10,9,45.0,0,NS_GREEN,6,4,31,29,70,125,16.68258426966292,-18.553333333333335
118,10,10,50.0,0,NS_YELLOW,4,0,39,34,77,146,17.426966292134832,-0.4550000000000002
119,10,11,55.0,0,EW_GREEN,20,10,46,41,117,149,17.07591036414566,-47.32333333333333
120,10,12,60.0,2,EW_GREEN,26,15,5,11,57,167,17.336885245901637,-2.976666666666667
